Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Access Type,Source,EID
"Kumar R., Sheridan J.T., Bhaduri B.","55492127000;7201682655;13605935500;","Nonlinear double image encryption using 2D non-separable linear canonical transform and phase retrieval algorithm",2018,"Optics and Laser Technology","107",,,"353","360",,2,"10.1016/j.optlastec.2018.06.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048324215&doi=10.1016%2fj.optlastec.2018.06.014&partnerID=40&md5=f57c9754f146065f6acea69aa8f549c2","In this paper, we propose a new asymmetric method for double image encryption using the two-dimensional non-separable linear canonical transform (2D NS-LCT) and an iterative phase retrieval algorithm (PRA). First an encryption security key is generated using the PRA. Then two images (2D intensities) are combined to form a complex image. The 2D NS-LCT of this complex valued image is then obtained. A nonlinear phase truncation operation is applied to the transformed image and the amplitude is retained and used as the private key. The phase term is multiplied by the security PRA generated key and the inverse 2D NS-LCT is applied to the result giving the output encrypted image. The robustness of the proposed technique is tested against noise, occlusion and chosen-plaintext attacks. Numerical results are presented demonstrating the security of the proposed technique. © 2018",Article,"Final",,Scopus,2-s2.0-85048324215
"Louise Bradley A., Leahy M., Riza N.A., Sheridan J.T.","57203320151;7101611631;7103231658;7201682655;","Optics in Ireland: introduction to the feature issue",2018,"Applied Optics","57","22",,"IRE1","",,,"10.1364/AO.57.00IRE1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051243187&doi=10.1364%2fAO.57.00IRE1&partnerID=40&md5=488037c6cea3a0d21ded5569f992efc5","This feature issue provides a snapshot of some of the applied optics and photonics related research and development activities currently taking place across Ireland. The issue contains some thirty papers, including contributions from universities and institutes of technology research groups, state research laboratories and institutes, and commercial companies. © 2018 Optical Society of America.",Review,"Final",,Scopus,2-s2.0-85051243187
"Li H., Qi Y., Guo C., Malallah R., Sheridan J.T.","55804706800;55303649500;55782336900;56893840900;7201682655;","Holographic characterization of diffraction grating modulation in photopolymers",2018,"Applied Optics","57","22",,"E107","E117",,1,"10.1364/AO.57.00E107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051272123&doi=10.1364%2fAO.57.00E107&partnerID=40&md5=ab451c287681707ad0f9140eba3a3fa6","In general, the holographic grating refractive index profiles in photopolymer materials are not identical to the exposing pattern. During exposure, high harmonics of the fundamental refractive index period are generated within the layer volume. A set of equations to calculate the amplitudes of the higher harmonics of refractive index induced in the grating is introduced. Then, an algorithm involving the use of the 3D nonlocal photopolymerization-driven diffusion model is presented and applied to calculate the resulting grating diffraction efficiencies. The experimental observation that the grating diffraction efficiency cannot reach the theoretical maximum value (ηmax 100%) and that, in the case of over-modulation, the minimum value (ηmin 0%) is also never achieved, are explained theoretically. The predictions of the simulations are also fit to experimental data for an acrylamide/polyvinyl alcohol photopolymer material with good agreement being achieved. © 2018 Optical Society of America.",Article,"Final",,Scopus,2-s2.0-85051272123
"Malallah R., Cassidy D., Muniraj I., Ryle J.P., Healy J.J., Sheridan J.T.","56893840900;57193832967;55549099300;14056979400;14055830200;7201682655;","Self-written waveguides in photopolymer",2018,"Applied Optics","57","22",,"E80","E88",,3,"10.1364/AO.57.000E80","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051273473&doi=10.1364%2fAO.57.000E80&partnerID=40&md5=c9e9b3f95ccd300e76faf93cdcf09b8f","Self-written waveguide (SWW) trajectories fabricated inside a dry photopolymer bulk material, acrylamide/ polyvinyl alcohol (AA/PVA), are studied. Their production using both Gaussian and Laguerre–Gauss exposing (writing) light beams, output from optical fibers, is explored. The formation of the primary and secondary eyes is also discussed. Furthermore, the interactions that take place when two counterpropagating beams pass through the photopolymer material (both Gaussian and Laguerre–Gauss) are examined. In all cases experimental and theoretical results are presented. Good agreement between the predictions of the proposed model and experimental observations are demonstrated. © 2018 Optical Society of America.",Article,"Final",,Scopus,2-s2.0-85051273473
"Guo C., Li D., Kelly D.P., Li H., Ryle J.P., Sheridan J.T.","55782336900;36521412000;56044455800;55804706800;14056979400;7201682655;","Measuring refractive index of glass by using speckle",2018,"Applied Optics","57","22",,"E205","E217",,1,"10.1364/AO.57.00E205","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051272193&doi=10.1364%2fAO.57.00E205&partnerID=40&md5=bd5594344b39f800accdd12f2aa4f0f7","A method to measure the refractive index of an optically flat, regularly shaped slab of glass using speckle correlation-based techniques is reported. The intensity of the diffraction field of the diffuser is captured by a CCD both with and without the glass present. As the position of the peak correlation coefficient is quantitatively related to the change in optical path length arising due to the presence of the glass, the refractive index of the glass can be evaluated by cross-correlating the two captured images. The theoretical correlation function that describes the effects of such an optical path length change is discussed, and the resulting speckle decorrelation function derived. Two glass samples are measured to demonstrate the accuracy and robustness of the proposed technique. © 2018 Optical Society of America.",Article,"Final",,Scopus,2-s2.0-85051272193
"Malallah R., Li H., Muniraj I., Cassidy D., Al-Attar N., Healy J.J., Sheridan J.T.","56893840900;55804706800;55549099300;57193832967;55243544800;14055830200;7201682655;","Controlling the trajectories of self-written waveguides in photopolymer",2018,"Journal of the Optical Society of America B: Optical Physics","35","8",,"2046","2056",,,"10.1364/JOSAB.35.002046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051367054&doi=10.1364%2fJOSAB.35.002046&partnerID=40&md5=64c2ba3c42d7e96c7757b7c7424ec4cd","The diffraction of a light beam as it propagates through a medium can be effectively compensated by self-trapping. A laser beam propagating through a nonlinear medium can generate a waveguiding action, i.e., a higher refractive index, along the direction of the light propagation. Experiments involving light beams illuminating the front surface of a solid bulk photopolymer sample are reported. The self-bending of parallel beams (input simultaneously but separated in space) during the resulting self-writing process is studied. It is shown that there is strong correlation between the initial beam input separation distance and the resulting waveguide trajectories taken during channel formation. Finite element-based simulations are performed, which predict the self-writing waveguide formation process, e.g., beam focusing, trapping, and the deviations of the waveguide trajectories caused by adjacent beams. The model is shown to be in good qualitative agreement with observed experimental results. © 2018 Optical Society of America.",Article,"Final",,Scopus,2-s2.0-85051367054
"Cassidy D.J., Malallah R., Wan M., Healy J.J., Sheridan J.T.","57193832967;56893840900;56706898300;14055830200;7201682655;","Optical characterization of photopolymer material using λ532nm and investigation into future use at λ850nm and λ1300nm",2018,"Proceedings of SPIE - The International Society for Optical Engineering","10683",, 106832J,"","",,,"10.1117/12.2306163","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049786046&doi=10.1117%2f12.2306163&partnerID=40&md5=31e1b2194445bd75361efc40793d1e7e","The propagation of a light beam through a photo-sensitive photopolymer Polyvinyl Alcohol/Acrylamide (PVA/AA), and the creation of self-written waveguides (SWWs), has received much attention. Here we explore the manufacture and characterization of SWWs in PVA/AA for applications at near infrared communication wavelengths 850nm and 1300nm. The SWWs are fabricated using visible light at wavelength 532nm. The insertion and optical loss of the SWWs at different wavelengths will be interrogated. An optical loss and attenuation profile is to be built up for each of the three wavelengths as they propagate down the resulting SWWs. © 2018 SPIE.",Conference Paper,"Final",,Scopus,2-s2.0-85049786046
"Malallah R., Wan M., Muniraj I., Cassidy D., Sheridan J.T.","56893840900;56706898300;55549099300;57193832967;7201682655;","Self-bending of optical waveguides in a dry photosensitive medium",2018,"Proceedings of SPIE - The International Society for Optical Engineering","10528",, 105281L,"","",,,"10.1117/12.2287215","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047839777&doi=10.1117%2f12.2287215&partnerID=40&md5=bbb66508743cc6812202989cd5fb8f13","Optical waveguide trajectories formed in an AA/PVA a photopolymer material photosensitive at 532 nm are examined. The transmission of light by this materials is discussed. The bending and arching of the waveguides which occur are investigated. The prediction of our model are shown to agree with the observed of trajectories. The largest index changes taking place at any time during the exposure, i.e. during SWW formation are found at the positions where the largest light intensity is present. Typically, such as maxima exist close to the input face at the location of the Primary Eye or at the location of the Secondary Eyes deeper with in the material. All photosensitive materials have a maximum saturation value of refractive index change that it is possible to induce, which is also discussed. © 2018 SPIE.",Conference Paper,"Final",,Scopus,2-s2.0-85047839777
"Wan M., Muniraj I., Chen N., Cassidy D., Healy J.J., Ryle J.P., Sheridan J.T.","56706898300;55549099300;54794004600;57193832967;14055830200;14056979400;7201682655;","Photon-counted integral holography using orthographic projection images",2018,"Proceedings of SPIE - The International Society for Optical Engineering","10677",, 106773G,"","",,,"10.1117/12.2307581","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052435944&doi=10.1117%2f12.2307581&partnerID=40&md5=8180200133fbc44d35ce0a30b808de49","Recently, a method for synthesizing a hologram of three dimensional (3D) objects from captured light field array is demonstrated. The 3D objects can be captured under incoherent light illumination using a micro lens array and their orthographic projection view images are generated from the captured elemental images. The synthesized orthographic projection view images are then multiplied by the corresponding phase functions and combined to form a digital hologram. For the first time, we analysis the performance of synthesized hologram under photon counting (low light imaging) conditions. The feasibility of this technique is experimentally verified by recording the orthographic projection images using a micro lens array and the reconstructed photon counted hologram is presented with varying photoncounting measurements. © COPYRIGHT SPIE. Downloading of the abstract is permitted for personal use only.",Conference Paper,"Final",,Scopus,2-s2.0-85052435944
"Malallah R., Li H., Kelly D.P., Healy J.J., Sheridan J.T.","56893840900;55804706800;56044455800;14055830200;7201682655;","A review of hologram storage and self-written waveguides formation in photopolymer media",2017,"Polymers","9","8", 337,"337","",,8,"10.3390/polym9080337","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026764941&doi=10.3390%2fpolym9080337&partnerID=40&md5=4c8fdaba8072ed34057a2a300ba8ea31","Photopolymer materials have received a great deal of attention because they are inexpensive, self-processing materials that are extremely versatile, offering many advantages over more traditional materials. To achieve their full potential, there is significant value in understanding the photophysical and photochemical processes taking place within such materials. This paper includes a brief review of recent attempts to more fully understand what is needed to optimize the performance of photopolymer materials for Holographic Data Storage (HDS) and Self-Written Waveguides (SWWs) applications. Specifically, we aim to discuss the evolution of our understanding of what takes place inside these materials and what happens during photopolymerization process, with the objective of further improving the performance of such materials. Starting with a review of the photosensitizer absorptivity, a dye model combining the associated electromagnetics and photochemical kinetics is presented. Thereafter, the optimization of photopolymer materials for HDS and SWWs applications is reviewed. It is clear that many promising materials are being developed for the next generation optical applications media. © 2017 by the authors.",Review,"Final",Open Access,Scopus,2-s2.0-85026764941
